Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C15, C16, C2, C27, C28, C3, C35, C36, C4, C43, C44, C45, C46, C5, C6, C7, C8, C9",0603,20,100pf,
"C11, C12, C13, C14, C17, C18, C19, C20, C23, C24, C25, C26, C61",CP_Radial_D6.3mm_P2.50mm,13,"47u, 63V",
"C21, C22, C51, C52, C53, C54",0805,6,10uF,
"C29, C30, C31, C32, C33, C34, C47, C48, C49, C50, C63",0805,11,0.1uF,
"C37, C38, C39, C40",0402,4,1nF,
"C41, C42",0402,2,2.7nF,
C55,CP_Elec_4x3.9,1,"2.2uF, 50V",
"C56, C57",0805,2,100nF,
C58,0805,1,10nF,
C59,0805,1,100pF,
C60,0805,1,3.3nF,
"C62, C64, C66",0603,3,1uF,
C65,0402,1,33nF,
C67,0603,1,120pF,
C68,0603,1,6.8pF,
C69,0402,1,22nF,
C70,0402,1,680pF,
"C71, C72, C73",CP_EIA-3528-15_AVX-H_Pad1.50x2.35mm_HandSolder,3,15uF,
C74,0603,1,2.2uF,
"D1, D2, D3, D4, D5, D6, D7, D8",D_SMB_Handsoldering,8,1N4934,
"D10, D11, D12, D9",D_SOD-123,4,1N4148,
D13,D_SOD-123,1,"1V, 150mA",
D14,D_SMB_Handsoldering,1,"700mV, 5A",
"H1, H2, H3, H4, H5, H6",MountingHole_3.2mm_M3_ISO7380_Pad,6,MountingHole,
"J10, J3",NC3MAAH,2,NC3MAAH,
"J14, J6",PinSocket_2x02_P2.00mm_Vertical,2,Conn_01x04,
"J15, J8",PinSocket_1x02_P2.54mm_Vertical,2,Conn_01x02,
"J2, J5",NCJ6FAH0,2,NCJ6FA-H-0,
"J4, J7",PinHeader_1x03_P1.27mm_Vertical,2,Conn_01x03_Male,
J9,PJ-102AH,1,PJ-102BH,
L1,SDR1307100ML,1,270uH,
L2,‎P0751.153NLT,1,15uH,
LED1,5511309F,1,551-1309F,
"R1, R2, R3, R4",0805,4,6.81k,
"R10, R11, R12, R9",0402,4,47k,
"R13, R14, R15, R16, R48",0603,5,11k,
"R17, R18, R19, R20, R25, R26, R45",0603,7,10R,
"R21, R22, R23, R24, R35, R36",0402,6,1.2k,
"R27, R28, R29, R30",0603,4,5k,
"R31, R32, R33, R34, R37, R38, R39, R40",0402,8,390,
"R41, R42, R43, R44",0402,4,49R9,
R46,0603,1,20k,
R47,0805,1,374k,
R49,0805,1,200k,
"R5, R6, R7, R8",0603,4,1.1k,
R50,0603,1,9.09k,
R51,0603,1,88.7k,
R52,0603,1,14.7k,
R53,0603,1,1.65k,
S1,SW_300SP1J1BLKM7QE,1,300SP1J1BLKM7QE,
"U1, U2",QFN-16-1EP_4x4mm_P0.65mm_EP2.5x2.5mm_ThermalVias,2,THAT1580,
"U3, U4",SOP65P490X110-9N,2,OPA1632,
U5,SOP65P640X120-16N,1,LM5000-3MTCX,
U6,SOP65P640X110-21N,1,LM25576QMH,LM25576QMH
